Прогноз погоды для Нижнего Новгорода

№    | Дата/время           | Температура  | Осадки (мм)
1    | 2026-05-23T00:00     | 18,3         | 0,00      
2    | 2026-05-23T01:00     | 17,0         | 0,00      
3    | 2026-05-23T02:00     | 16,5         | 0,00      
4    | 2026-05-23T03:00     | 16,3         | 0,00      
5    | 2026-05-23T04:00     | 15,9         | 0,00      
6    | 2026-05-23T05:00     | 16,4         | 0,00      
7    | 2026-05-23T06:00     | 17,5         | 0,00      
8    | 2026-05-23T07:00     | 18,5         | 0,00      
9    | 2026-05-23T08:00     | 20,0         | 0,00      
10   | 2026-05-23T09:00     | 22,2         | 0,00      
11   | 2026-05-23T10:00     | 23,7         | 0,00      
12   | 2026-05-23T11:00     | 25,4         | 0,00      
13   | 2026-05-23T12:00     | 26,3         | 0,00      
14   | 2026-05-23T13:00     | 26,7         | 0,00      
15   | 2026-05-23T14:00     | 25,3         | 0,00      
16   | 2026-05-23T15:00     | 24,7         | 0,00      
17   | 2026-05-23T16:00     | 23,4         | 0,00      
18   | 2026-05-23T17:00     | 23,3         | 0,00      
19   | 2026-05-23T18:00     | 22,5         | 0,00      
20   | 2026-05-23T19:00     | 21,2         | 0,00      
21   | 2026-05-23T20:00     | 19,3         | 0,00      
22   | 2026-05-23T21:00     | 17,9         | 0,00      
23   | 2026-05-23T22:00     | 17,0         | 0,00      
24   | 2026-05-23T23:00     | 16,4         | 0,00      
